NAME,H1r_4861A,H1r_6563A,O3_4363A,O3_5007A,S2_6716A,S2_6731A,O2_3726A,H1r_4861Ae,H1r_6563Ae,O3_4363Ae,O3_5007Ae,S2_6716Ae,S2_6731Ae,O2_3726Ae
UGC12011-4,267.53186487584736,945.2806258950626,3.3538341006406136,332.9745651766703,190.96862301068367,175.70698959691455,686.7345399802552,0.39029853317715296,0.39558871587423294,0.6029278389020053,3.8348703035060208,0.37643412875841575,0.5243609499482149,2.1280226967553797
UGC12011-6,187.79702798069783,666.3728616691611,4.318451887348601,182.1197155376053,136.43384496596906,129.71004890561488,442.9927975690735,0.27782873190811863,0.26976496157871754,0.4906186364075921,2.3947971172534834,0.2532272017371311,0.3377334367942579,1.2902230344908363
UGC12011-8,224.1022759985371,804.3019418344867,3.5121934717763783,215.02673719410728,157.6263479814601,149.98938249301884,546.9511905778206,0.2771416781774935,0.35404920705709714,0.3794837151472308,2.769667678154878,0.3823903376938251,0.42410523291132,1.642851762389772
UGC12011-18,4.67334833528394,14.453159944529641,0.9178486185444292,6.194701663683937,3.865418056903112,4.4062866911875975,16.584823738377203,0.13055277777470126,0.1066163515480615,0.252988188624972,0.14744744469782053,0.13113364688593893,0.15689208512562652,0.6246237340140977
UGC12185-2,7.439886118484662,29.833371345142268,1.337672141424726,2.5381134728946595,6.827289381456431,8.371942048398765,11.104900911223641,0.15746120177210662,0.13555469420124086,0.265974043480583,0.16413012374798738,0.19063328919652966,0.21645234670149646,0.7043751339236412
UGC12348-2,324.7030287246284,2241.1984765633715,12.717508797588167,2250.042678191265,745.8544813451779,836.6523411677324,341.0479862348471,0.7326199368765405,0.8281360419751391,1.729263176772115,27.71613440489644,0.8376023689615191,1.288126551270499,3.173305100920889
UGC12633-2,76.20159730038866,468.2814629621306,4.8791646006950815,41.022135825036244,98.22886783061571,76.74464887114124,80.41618410489319,0.3524943206344749,0.3512806610764256,0.4984609887132246,0.6012230477371903,0.4680527825459261,0.4983181221422274,2.4418896480385253
UGC12810-9,11.960620327684754,41.20990085646561,1.6199472984696877,3.9886179666869412,8.045254589961901,6.926470918382419,21.766970586765765,0.2642116616428277,0.2202185148269871,0.5391007911905804,0.2435008144869627,0.2473768142591488,0.2718839214414227,1.4466649791687043
UGC12810-24,9.30056452293817,28.240129905171557,2.2942307322754885,11.719978058212154,5.9780152168091,5.327331087996464,26.816237335178453,0.3676538956587121,0.1582325841628697,0.4306730693721677,0.3020188431535322,0.18414121350683715,0.20882056227934948,1.4065910048190744
UGC12810-31,4.288818963703108,20.62552461935996,1.8907998316114931,2.442351215265586,5.516694277089415,4.754850680209558,16.397537354077162,0.3464818637956039,0.2469149618644327,0.5703108915176379,0.3078980544649907,0.3060834084066905,0.3498306970190208,1.2805430838622458
UGC12810-39,7.139475953580625,19.460837617081875,1.1766809173433022,3.099534259961556,4.6056677212658474,3.7065331701137167,15.491319584491391,0.21455521522390894,0.16914548639289026,0.3175829856092835,0.2354780476468796,0.19709346288958984,0.20843213016519585,1.165809577290154
UGC12810-40,2.4072902268682745,14.012897300463463,1.5410522147830084,2.8291342217913447,3.5581196651315468,1.9507888445625805,11.958044642976224,0.22084900561474494,0.2122148018036376,0.40223706929422015,0.21951818695290465,0.267971670336235,0.3673181318325413,0.9795040096941904
UGC12816-24,6.297406670791076,19.41974257531064,2.336409989574471,20.44409752206448,4.522302734179019,3.1092340781850614,19.915290865160056,0.3628813705382264,0.2198362030936896,0.5257141022346095,0.5508815738236129,0.2777919932243232,0.2426335132514605,1.6217233058851297
UGC12816-31,5.407433991758434,21.785988920852688,2.7222163100522088,10.65947605664308,5.1103890410982284,3.1090042664430966,17.007564823323555,0.3129175131749595,0.2004661670866188,0.6788215566531407,0.34164240384266165,0.2653278969899785,0.2203599448054328,1.4545388968870958
UGC12816-34,5.6940958975784115,22.110431652027284,4.3151514208395705,10.909962822919807,3.615945687037169,3.154181234471852,27.83002795384932,0.4730620571339816,0.21005134602525413,0.9129799496645906,0.5101121803964066,0.27448243299729785,0.2481329333069208,1.3076239335693056
UGC12816-63,3.1214425605347413,8.932097118517483,2.687070401365809,3.2417864200908117,3.147901403677485,2.5018645070668795,11.119177151156736,0.2631434782424752,0.1610414950150931,0.6866555083252011,0.2365752957962652,0.2086945557779929,0.1998674745921569,1.8411408032790209
UGC2308-49,0.6432037357588745,8.824626842356892,2.5955013157340976,2.5777244288358,1.021220892312414,1.4033237745136085,17.105397616958534,0.51144514538035,0.19982749793481291,0.7397655825002741,0.31732611699786706,0.17392501491060738,0.19805470710106024,1.3677093724812162
UGC3236-11,4.2766146403043175,16.97699039410366,1.215588138412879,1.577338846540132,2.6864251059799,1.769744020625832,6.19023090091091,0.1833543850532208,0.1213481677328514,0.32723482797712306,0.2349095629847179,0.14255604084655982,0.15270458875114293,0.8514898085018979
UGC3236-18,3.4829113923812987,13.647579210540517,1.1311192854348815,1.3512073967634062,2.4767350477318564,2.3436824628380934,3.5039528246789624,0.1887507523777179,0.14435454933684755,0.34421404368602176,0.16877499199578844,0.15294988688323258,0.18399940537487347,0.7426409432280043
UGC3236-22,3.594847580940191,14.057326409293434,1.794293927059656,0.577370318807923,3.57211225211691,1.623327102505029,2.7645081585868376,0.1876277476572572,0.1366656299007373,0.3459231584002656,0.1776863204874534,0.20607912209336746,0.25759568883326983,0.6545659144566491
UGC3236-25,2.0998762830145243,11.351589642975943,2.3441547590421354,1.0432054349773128,1.778519785774397,1.7599138034127273,2.826123194594464,0.1833176078930806,0.13379042077105832,0.4148707728959896,0.18275893829195727,0.1712167203776132,0.1895850625798012,0.6518488639662061
UGC4310-28,3.486255709944917,17.403505943963662,1.7026266291221857,3.2378282728128207,2.43510502050488,2.3802401885718254,7.5644960272720985,0.27308816479621945,0.1371443384850025,0.371673872279062,0.2600234681829041,0.1976643288070611,0.1879382362368087,1.0902733041363948
UGC4310-64,2.4735383666167974,8.683845907552982,2.4572097702936557,5.685283281540478,2.49662546691032,2.1502015605766256,5.9788710119011395,0.2436352503676328,0.14549594362782528,0.4568758075692686,0.25221772540086457,0.18823530924274376,0.16941208489509332,0.8877754668419258
